證券代號,大戶比例_本週,千張比例_本週,散戶比例_本週,大戶比例_上週,千張比例_上週,散戶比例_上週,本週增減,千張本週增減,散戶本週增減,上週增減,分類
3580,15.24,7.21,84.69,12.46,7.21,87.48,2.7799999999999994,0.0,-2.7900000000000063,-1.1699999999999982,回頭車
009829,45.940000000000005,38.34,53.96,43.26,35.66,56.65,2.680000000000007,2.680000000000007,-2.6899999999999977,-2.6400000000000006,回頭車
00763U,51.67,47.4,48.28,49.14,44.92,50.78,2.530000000000001,2.479999999999997,-2.5,-1.6899999999999977,回頭車
009827,16.9,10.63,83.02,14.39,9.0,85.53999999999999,2.509999999999998,1.6300000000000008,-2.519999999999996,-5.640000000000001,回頭車
00731,18.009999999999998,0.0,81.92,15.64,0.0,84.28999999999999,2.3699999999999974,0.0,-2.3699999999999903,3.129999999999999,續買
00992A,18.58,13.9,81.35,16.27,11.48,83.67,2.3099999999999987,2.42,-2.3200000000000074,-1.490000000000002,回頭車
3605,69.66,61.62,30.25,67.47999999999999,59.98,32.46,2.180000000000007,1.6400000000000006,-2.210000000000001,2.8699999999999903,續買
00982B,61.11,53.33,38.82,59.03,53.33,40.9,2.0799999999999983,0.0,-2.0799999999999983,-3.289999999999992,回頭車
6770,49.230000000000004,44.67,50.72,47.18,42.6,52.76,2.0500000000000043,2.0700000000000003,-2.039999999999999,2.0899999999999963,續買
006207,13.42,0.0,86.52,11.45,0.0,88.48,1.9700000000000006,0.0,-1.960000000000008,-2.7699999999999996,回頭車
6213,65.78999999999999,58.33,34.14,63.83,55.69,36.09,1.9599999999999937,2.6400000000000006,-1.9500000000000028,-3.8800000000000097,回頭車
00991A,20.720000000000002,16.28,79.21000000000001,18.8,14.25,81.11,1.9200000000000017,2.030000000000001,-1.8999999999999915,-1.0500000000000007,回頭車
6693,42.480000000000004,31.39,57.44,40.57,31.39,59.349999999999994,1.9100000000000037,0.0,-1.9099999999999966,-1.9400000000000048,回頭車
00783,13.23,0.0,86.71000000000001,11.36,0.0,88.59,1.870000000000001,0.0,-1.8799999999999955,1.1999999999999993,續買
3661,35.31,9.73,64.59,33.46,10.7,66.47,1.8500000000000014,-0.9699999999999989,-1.8799999999999955,-4.049999999999997,回頭車
3219,82.66,76.22,17.25,80.83,76.33,19.11,1.8299999999999983,-0.10999999999999943,-1.8599999999999994,1.0100000000000051,續買
00935,22.13,20.43,77.79,20.32,18.62,79.61,1.8099999999999987,1.8099999999999987,-1.8199999999999932,-4.309999999999999,回頭車
009818,8.4,6.49,91.53,6.609999999999999,5.6,93.31,1.790000000000001,0.8900000000000006,-1.7800000000000011,2.6499999999999995,續買
00861,6.83,3.72,93.09,5.09,3.81,94.84,1.7400000000000002,-0.08999999999999986,-1.75,-1.0600000000000005,回頭車
3105,55.69,49.69,44.23,53.97,48.25,45.96,1.7199999999999989,1.4399999999999977,-1.730000000000004,1.1899999999999977,續買
6533,21.27,15.55,78.66,19.689999999999998,15.87,80.24000000000001,1.5800000000000018,-0.3199999999999985,-1.5800000000000125,-1.0600000000000023,回頭車
00700,13.35,4.72,86.58,11.77,5.16,88.14,1.58,-0.4400000000000004,-1.5600000000000023,-1.8599999999999994,回頭車
009803,14.4,10.76,85.52,12.83,8.97,87.09,1.5700000000000003,1.7899999999999991,-1.5700000000000074,1.5899999999999999,續買
00995A,17.119999999999997,13.62,82.78999999999999,15.56,11.89,84.35,1.559999999999997,1.7299999999999986,-1.5600000000000023,1.3100000000000005,續買
3675,58.48,55.16,41.46,56.94,55.16,42.99,1.5399999999999991,0.0,-1.5300000000000011,-1.1099999999999994,回頭車
00401A,26.72,23.59,73.21,25.18,21.73,74.73,1.5399999999999991,1.8599999999999994,-1.5200000000000102,5.460000000000001,續買
8996,51.66,27.2,48.26,50.12,25.13,49.79,1.5399999999999991,2.0700000000000003,-1.5300000000000011,2.079999999999991,續買
3211,49.44,39.19,50.48,47.92,39.18,52.019999999999996,1.519999999999996,0.00999999999999801,-1.5399999999999991,-2.289999999999992,回頭車
2481,58.14,51.86,41.78,56.620000000000005,51.46,43.32,1.519999999999996,0.3999999999999986,-1.5399999999999991,-4.659999999999997,回頭車
00685L,35.08,22.77,64.85,33.57,21.58,66.37,1.509999999999998,1.1900000000000013,-1.5200000000000102,2.1400000000000006,續買
2484,25.73,16.62,74.2,24.23,16.57,75.71,1.5,0.05000000000000071,-1.509999999999991,1.4600000000000009,續買
8299,39.55,29.18,60.38,38.08,27.43,61.84,1.4699999999999989,1.75,-1.4600000000000009,-1.1300000000000026,回頭車
009800,30.57,25.64,69.34,29.1,24.45,70.83,1.4699999999999989,1.1900000000000013,-1.4899999999999949,2.5500000000000007,續買
6715,76.53,65.62,23.39,75.11,65.47,24.81,1.4200000000000017,0.15000000000000568,-1.4199999999999982,-3.210000000000008,回頭車
6290,41.17,29.92,58.74,39.76,28.95,60.17,1.4100000000000037,0.9700000000000024,-1.4299999999999997,2.0799999999999983,續買
00918,10.97,8.21,88.95,9.61,6.63,90.73,1.3600000000000012,1.580000000000001,-1.7800000000000011,-2.1700000000000017,回頭車
00917,12.74,5.11,87.19,11.379999999999999,5.05,88.53999999999999,1.3600000000000012,0.0600000000000005,-1.3499999999999943,-2.1799999999999997,回頭車
00896,8.15,6.68,91.78,6.79,5.28,93.13,1.3600000000000003,1.3999999999999995,-1.3499999999999943,-1.1499999999999995,回頭車
00670L,13.31,7.19,86.62,11.950000000000001,6.48,87.98,1.3599999999999994,0.71,-1.3599999999999994,-1.1199999999999992,回頭車
6538,53.67,23.78,46.25,52.32,23.61,47.61,1.3500000000000014,0.1700000000000017,-1.3599999999999994,5.25,續買
2426,46.559999999999995,40.76,53.349999999999994,45.25,41.01,54.67,1.3099999999999952,-0.25,-1.3200000000000074,-4.399999999999999,回頭車
6214,68.11,60.32,31.840000000000003,66.83,60.27,33.08,1.2800000000000011,0.04999999999999716,-1.2399999999999949,1.3700000000000045,續買
00728,4.1899999999999995,0.0,95.75,2.91,2.91,97.03,1.2799999999999994,-2.91,-1.2800000000000011,-2.3899999999999997,回頭車
9960,77.78,56.82,22.13,76.55,56.82,23.36,1.230000000000004,0.0,-1.2300000000000004,-1.2000000000000028,回頭車
8358,35.41,27.61,64.50999999999999,34.209999999999994,25.83,65.71,1.2000000000000028,1.7800000000000011,-1.2000000000000028,-4.52000000000001,回頭車
00951,30.58,25.84,69.32,29.39,24.72,70.54,1.1899999999999977,1.120000000000001,-1.220000000000013,1.75,續買
6442,55.53,36.79,44.38,54.35,37.99,45.589999999999996,1.1799999999999997,-1.2000000000000028,-1.2099999999999937,-1.0300000000000011,回頭車
00980A,25.3,23.18,74.62,24.14,22.02,75.78,1.1600000000000001,1.1600000000000001,-1.1599999999999966,-1.2300000000000004,回頭車
6199,84.89,77.81,15.040000000000001,83.75999999999999,79.08,16.169999999999998,1.1300000000000097,-1.269999999999996,-1.1299999999999972,2.1599999999999966,續買
6672,33.64,20.72,66.29,32.53,17.61,67.38,1.1099999999999994,3.1099999999999994,-1.0899999999999892,2.1400000000000006,續買
00695B,74.6,65.63,25.31,73.53999999999999,68.8,26.4,1.0600000000000023,-3.1700000000000017,-1.0899999999999999,-1.6000000000000085,回頭車
009826,26.04,17.73,73.88,25.0,16.43,74.93,1.0399999999999991,1.3000000000000007,-1.0500000000000114,-1.009999999999998,回頭車
3264,72.27,65.14,27.66,73.28,66.8,26.66,-1.0100000000000051,-1.6599999999999966,1.0,1.4399999999999977,下車
7749,45.69,28.12,54.230000000000004,46.73,28.99,53.19,-1.0399999999999991,-0.8699999999999974,1.0400000000000063,-1.0800000000000054,續賣
7754,69.2,56.27,30.73,70.26,56.35,29.67,-1.0600000000000023,-0.0799999999999983,1.0599999999999987,-1.3599999999999994,續賣
3141,27.66,10.28,72.27,28.74,16.79,71.21,-1.0799999999999983,-6.51,1.0600000000000023,-3.0100000000000016,續賣
00847B,31.759999999999998,0.0,68.17,32.84,0.0,67.11,-1.0800000000000054,0.0,1.0600000000000023,1.6300000000000026,下車
8112,35.93,31.62,64.01,37.019999999999996,32.82,62.910000000000004,-1.0899999999999963,-1.1999999999999993,1.1000000000000014,-3.5400000000000063,續賣
2359,46.22,38.95,53.71,47.31,39.2,52.63,-1.0900000000000034,-0.25,1.0799999999999983,-1.1699999999999946,續賣
7932,58.879999999999995,40.15,41.06,59.980000000000004,40.07,39.96,-1.1000000000000085,0.0799999999999983,1.1000000000000014,-1.1599999999999966,續賣
6510,54.9,42.44,45.03,56.01,43.97,43.92,-1.1099999999999994,-1.5300000000000011,1.1099999999999994,1.4399999999999977,下車
5351,37.06,29.4,62.88,38.19,30.98,61.74,-1.1299999999999955,-1.5800000000000018,1.1400000000000006,-2.990000000000002,續賣
